1	1	2.431000e+10
1	2	4.716000e+05
2	3	3.889000e+05
2	4	2.343000e+09
3	6	4.210000e+00
3	7	5.126000e+01
4	9	7.374000e-01
5	10	3.433000e+00
5	11	1.388700e+01
6	12	7.001000e+06
6	13	7.842000e+04
7	14	1.943000e+06
7	15	7.143000e+03
8	16	1.410000e+07
8	17	5.260000e+03
8	18	2.827000e+04
9	19	8.411000e+02
10	20	1.996000e+06
10	21	4.786000e+03
10	22	1.468000e+05
11	23	5.751000e+04
12	24	8.057000e+05
12	25	1.020000e+05
12	26	1.123000e+05
13	27	8.410000e+04
14	28	9.223000e+05
14	29	4.683000e+04
14	30	3.087000e+04
15	31	8.373000e+03
16	32	4.227000e+05
16	33	3.340000e+03
16	34	1.875000e+04
16	36	7.600000e+01
17	35	3.968000e+03
17	37	1.269000e+03
18	36	8.671000e+04
18	38	1.576500e+04
18	40	2.500000e+01
19	39	3.443000e+03
19	40	4.310000e-01
19	41	2.485000e+02
20	40	6.094700e+04
20	42	4.070000e+02
20	43	8.490000e+01
20	44	1.311000e+03
20	46	2.500000e+00
20	48	1.180000e+02
21	45	3.120000e+01
22	46	2.000000e+02
22	47	1.800000e+02
22	48	1.785000e+03
22	49	1.310000e+02
22	50	1.260000e+02
23	50	7.200000e-01
23	51	2.876800e+02
24	50	5.590000e+02
24	52	1.077500e+04
24	53	1.222000e+03
24	54	3.040000e+02
25	55	9.168000e+03
26	54	4.898000e+04
26	56	7.689000e+05
26	57	1.776000e+04
26	58	2.360000e+03
27	59	2.323000e+03
28	58	3.254100e+04
28	60	1.253200e+04
28	61	5.450000e+02
28	62	1.737000e+03
28	64	4.420000e+02
29	63	3.645000e+02
29	65	1.625000e+02
30	64	5.960000e+02
30	66	3.420000e+02
30	67	5.030000e+01
30	68	2.300000e+02
30	70	7.600000e+00
31	69	2.162000e+01
31	71	1.435000e+01
32	70	2.560000e+01
32	72	3.340000e+01
32	73	9.300000e+00
32	74	4.330000e+01
32	76	9.000000e+00
33	75	6.089000e+00
34	74	5.800000e-01
34	76	6.160000e+00
34	77	5.020000e+00
34	78	1.564000e+01
34	80	3.264000e+01
34	82	5.740000e+00
35	79	5.740000e+00
35	81	5.580000e+00
36	78	2.000000e-01
36	80	1.280000e+00
36	82	6.430000e+00
36	83	6.370000e+00
36	84	3.138000e+01
36	86	9.490000e+00
37	85	4.743000e+00
37	87	1.829000e+00
38	84	1.312400e-01
38	86	2.320690e+00
38	87	1.743900e+00
38	88	1.944410e+01
39	89	4.608000e+00
40	90	5.830000e+00
40	91	1.272000e+00
40	92	1.943000e+00
40	94	1.969000e+00
40	96	3.170000e-01
41	93	7.554000e-01
42	92	3.860000e-01
42	94	2.410000e-01
42	95	4.140000e-01
42	96	4.340000e-01
42	97	2.490000e-01
42	98	6.280000e-01
42	100	2.510000e-01
44	96	1.053000e-01
44	98	3.550000e-02
44	99	2.420000e-01
44	100	2.390000e-01
44	101	3.240000e-01
44	102	5.990000e-01
44	104	3.540000e-01
45	103	3.708000e-01
46	102	1.460000e-02
46	104	1.600000e-01
46	105	3.200000e-01
46	106	3.920000e-01
46	108	3.800000e-01
46	110	1.680000e-01
47	107	2.547000e-01
47	109	2.366000e-01
48	106	1.980000e-02
48	108	1.410000e-02
48	110	1.980000e-01
48	111	2.030000e-01
48	112	3.820000e-01
48	113	1.940000e-01
48	114	4.550000e-01
48	116	1.190000e-01
49	113	7.800000e-03
49	115	1.730000e-01
